"uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
1188135,"Austin","23F","theft from motor vehicle (except theft of motor vehicle parts or accessories)","larceny/theft offenses","property","2018-01-01 17:00",-97.746775,30.258546,"vehicle parking","open space","484530013051014",,
1188285,"Austin","35A","drug/narcotic violations","drug/narcotic offenses","society","2018-01-02 15:01",-97.696491,30.236195,"street","street","484530023171012",,
1188481,"Austin","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-01-03 17:00",-97.705328,30.259391,"street","street","484530009021021",,
1188652,"Austin","90C","disorderly conduct","disorderly conduct","society","2018-01-04 12:21",-97.761514,30.238686,"office","commercial","484530013084000",,
1188730,"Austin","35A","drug/narcotic violations","drug/narcotic offenses","society","2018-01-04 19:33",-97.730493,30.278558,"street","street","484530007001001",,
1188808,"Austin","90D","driving under the influence","driving under the influence","society","2018-01-05 04:34",-97.731825,30.274861,"street","street","484530007001001",,
1188824,"Austin","23F","theft from motor vehicle (except theft of motor vehicle parts or accessories)","larceny/theft offenses","property","2018-01-05 08:20",-97.716685,30.261073,"vehicle parking","open space","484530009022038",,
1188899,"Austin","23F","theft from motor vehicle (except theft of motor vehicle parts or accessories)","larceny/theft offenses","property","2018-01-05 15:00",-97.706243,30.290946,"street","street","484530003061043",,
1188911,"Austin","22U","other burglary/breaking & entering","burglary/breaking & entering","property","2018-01-05 16:20",-97.694101,30.35728,"residence","residence","484530018061014",,
1188916,"Austin","22U","other burglary/breaking & entering","burglary/breaking & entering","property","2018-01-05 16:48",-97.78628,30.252624,"residence","residence","484530019012001",,
1188982,"Austin","35A","drug/narcotic violations","drug/narcotic offenses","society","2018-01-05 23:11",-97.68854,30.305632,"street","street","484530021063008",,
1189114,"Austin","23F","theft from motor vehicle (except theft of motor vehicle parts or accessories)","larceny/theft offenses","property","2018-01-06 14:30",-97.740782,30.382977,"vehicle parking","open space","484530017531030",,
1189200,"Austin","13C","intimidation","assault offenses","persons","2018-01-06 22:00",-97.77139,30.298376,"residence","residence","484530016044002",,
1189225,"Austin","13A","aggravated assault","assault offenses","persons","2018-01-06 23:39",-97.701565,30.344537,"residence","residence","484530018043013",,
1189493,"Austin","13B","simple assault","assault offenses","persons","2018-01-08 07:45",-97.767348,30.191621,"college","education","484530024192008",,
1189627,"Austin","23C","shoplifting","larceny/theft offenses","property","2018-01-08 20:07",-97.87675,30.202598,"supermarket","retail","484530017372040",,
1189751,"Austin","26A","false pretenses/swindle/confidence game","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-01-09 13:30",-97.883233,30.208902,"residence","residence","484530017372008",,
1189788,"Austin","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-01-09 16:50",-97.71234,30.373251,"residence","residence","484530018211004",,
