ADDRESS,LOCATION_TYPE,LATITUDE,LONGITUDE
'1849  Sawtelle  Blvd.  Suite  100  Los  Angeles  CA  90025','ROOFTOP',34.043169,-118.445758
'1301  Pennsylvania  Ave  Denver  CO  80203-5011','ROOFTOP',39.736882,-104.981097
'349  Broadway  Cambridge  MA  02139-1715','ROOFTOP',42.370337,-71.103781
'1650  E.  Ft.  Lowell  Rd  Suite  202  Tucson  AZ  85719','ROOFTOP',32.264742,-110.947134
'995  Day  Hill  Road  Windsor  CT  06095','ROOFTOP',41.878272,-72.715011
'3670  Maguire  Blvd.  Suite  110  Orlando  FL  32803-3012','ROOFTOP',28.559477,-81.338902
'687  Cheshire  Ave  Eugene  OR  97402-5060','ROOFTOP',44.060943,-123.103062
'100  Oakdale  Campus  -  M319  Iowa  City  IA  52242-5005','ROOFTOP',41.494538,-91.705185
'3670  Maguire  Blvd  Orlando  FL  32803-3071','ROOFTOP',28.559477,-81.338902
'1300  Bradford  Parkway  Springfield  MO  65804','ROOFTOP',37.14692,-93.274949
'1601  E  Fourth  Plain  Blvd.  Ste  C214  Vancouver  WA  98661','ROOFTOP',45.639353,-122.654885
'401  Fifth  Avenue  Seattle  WA  98104','ROOFTOP',47.60227,-122.327885
'2215  Langhorne  Road  Suite  2-B  Lynchburg  VA  24501-1114','ROOFTOP',37.413043,-79.174424
'P.O.  Box  28  Santa  Barbara  CA  93102-0028','ROOFTOP',34.262834,-119.848555
'505  Hudson  St.  Hartford  CT  06106-7100','ROOFTOP',41.75669,-72.678865
'1644  South  College  Avenue  Fort  Collins  CO  80525-1007','ROOFTOP',40.566261,-105.076844
'14901  Broschart  Road  Rockville  MD  20850-3318','ROOFTOP',39.099627,-77.201453
'3274  Rosecrans  Street  San  Diego  CA  92110-4836','ROOFTOP',32.747682,-117.208543
'1611  S.  Federal  Blvd.  Denver  CO  80219-4862','ROOFTOP',39.687345,-105.025127
'111  Middleton  Road  Danvers  MA  01923-4000','ROOFTOP',42.586024,-70.980623
'P.O.  Box  1347  Anniston  AL  36202-1347','ROOFTOP',33.762195,-85.837828
'404  Chestnut  Street  Manchester  NH  03101-1837','ROOFTOP',42.991038,-71.460568
'115  E.  Jefferson  Street  Suite  300  Syracuse  NY  13202-2537','ROOFTOP',43.047031,-76.151453
'3722  Pinemont  Drive  Houston  TX  77018','ROOFTOP',29.841183,-95.437638
